Annotation Cluster 1	Enrichment Score: 22.71931167461388
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0006643~membrane lipid metabolic process	19	57.57575757575758	1.915292154934986E-33	YPL087W, YDR297W, YBR183W, YMR296C, YKL004W, YPL057C, YOR171C, YMR272C, YHL003C, YDR072C, YMR298W, YBR036C, YLR260W, YKL008C, YDR294C, YBR265W, YJL134W, YKR053C, YDR062W	33	34	4970	84.16221033868094	2.9112440755011787E-31	9.704146918337262E-32	2.292416533051069E-30
GOTERM_BP_ALL	GO:0006665~sphingolipid metabolic process	19	57.57575757575758	1.915292154934986E-33	YPL087W, YDR297W, YBR183W, YMR296C, YKL004W, YPL057C, YOR171C, YMR272C, YHL003C, YDR072C, YMR298W, YBR036C, YLR260W, YKL008C, YDR294C, YBR265W, YJL134W, YKR053C, YDR062W	33	34	4970	84.16221033868094	2.9112440755011787E-31	9.704146918337262E-32	2.292416533051069E-30
GOTERM_BP_ALL	GO:0046467~membrane lipid biosynthetic process	12	36.36363636363637	1.8421384256559673E-20	YHL003C, YDR072C, YBR036C, YMR298W, YMR296C, YKL004W, YKL008C, YBR265W, YKR053C, YJL134W, YPL057C, YDR062W	33	20	4970	90.36363636363636	2.8000504069970704E-18	3.500063008746338E-19	2.204858706417953E-17
GOTERM_BP_ALL	GO:0030148~sphingolipid biosynthetic process	12	36.36363636363637	1.8421384256559673E-20	YHL003C, YDR072C, YBR036C, YMR298W, YMR296C, YKL004W, YKL008C, YBR265W, YKR053C, YJL134W, YPL057C, YDR062W	33	20	4970	90.36363636363636	2.8000504069970704E-18	3.500063008746338E-19	2.204858706417953E-17
GOTERM_BP_ALL	GO:0046519~sphingoid metabolic process	10	30.303030303030305	2.697158833063651E-17	YPL087W, YBR183W, YHL003C, YMR272C, YDR072C, YMR298W, YKL004W, YKL008C, YBR265W, YPL057C	33	15	4970	100.40404040404042	4.0996814262567494E-15	3.726983114778863E-16	3.228234128797818E-14
GOTERM_BP_ALL	GO:0006672~ceramide metabolic process	9	27.27272727272727	1.4391592285235287E-15	YPL087W, YBR183W, YHL003C, YMR272C, YDR072C, YMR298W, YKL004W, YKL008C, YPL057C	33	13	4970	104.26573426573425	2.1938006966593093E-13	1.8318679906315083E-14	1.7319479184152442E-12

Annotation Cluster 2	Enrichment Score: 15.195045280574934
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0006696~ergosterol biosynthetic process	14	42.42424242424242	4.6576900550916105E-24	YML008C, YGL001C, YHR190W, YGL012W, YMR015C, YJL167W, YHR072W, YLR100W, YMR202W, YLR056W, YGR060W, YGR175C, YHR007C, YNL280C	33	24	4970	87.85353535353536	7.079688883739248E-22	1.4159377767478496E-22	5.574797380445591E-21
GOTERM_BP_ALL	GO:0016129~phytosteroid biosynthetic process	14	42.42424242424242	4.6576900550916105E-24	YML008C, YGL001C, YHR190W, YGL012W, YMR015C, YJL167W, YHR072W, YLR100W, YMR202W, YLR056W, YGR060W, YGR175C, YHR007C, YNL280C	33	24	4970	87.85353535353536	7.079688883739248E-22	1.4159377767478496E-22	5.574797380445591E-21
GOTERM_BP_ALL	GO:0008204~ergosterol metabolic process	14	42.42424242424242	1.925820942831372E-23	YML008C, YGL001C, YHR190W, YGL012W, YMR015C, YJL167W, YHR072W, YLR100W, YMR202W, YLR056W, YGR060W, YGR175C, YHR007C, YNL280C	33	26	4970	81.0955710955711	2.9272478331036857E-21	4.878746388506142E-22	2.305018457715394E-20
GOTERM_BP_ALL	GO:0016128~phytosteroid metabolic process	14	42.42424242424242	1.925820942831372E-23	YML008C, YGL001C, YHR190W, YGL012W, YMR015C, YJL167W, YHR072W, YLR100W, YMR202W, YLR056W, YGR060W, YGR175C, YHR007C, YNL280C	33	26	4970	81.0955710955711	2.9272478331036857E-21	4.878746388506142E-22	2.305018457715394E-20
GOTERM_BP_ALL	GO:0006694~steroid biosynthetic process	14	42.42424242424242	1.6661364702789308E-21	YML008C, YGL001C, YHR190W, YGL012W, YMR015C, YJL167W, YHR072W, YLR100W, YMR202W, YLR056W, YGR060W, YGR175C, YHR007C, YNL280C	33	34	4970	62.01426024955437	2.532527434823975E-19	3.617896335462821E-20	1.994201657927442E-18
GOTERM_BP_ALL	GO:0016126~sterol biosynthetic process	14	42.42424242424242	1.6661364702789308E-21	YML008C, YGL001C, YHR190W, YGL012W, YMR015C, YJL167W, YHR072W, YLR100W, YMR202W, YLR056W, YGR060W, YGR175C, YHR007C, YNL280C	33	34	4970	62.01426024955437	2.532527434823975E-19	3.617896335462821E-20	1.994201657927442E-18
